-117.989581,33.8432,24 Hour Fitness - Buena Park Cardio Equipment; Free Weights; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop*; Sauna; Steam Room; Training Club 24 - IGNITE*; Training Club 24 - TORCH*; Whirlpool; Club Number: 00855; Open Date: 6/30/2007 12:00:00 AM,(714) 236-1800,8430 On the Mall,Buena Park,CA,90620,USA
-118.331466,34.1918,24 Hour Fitness - Burbank Empire Cardio Equipment; Free Weights; Full Sized Basketball Court; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Personal Viewing Screens; Pro Shop*; Sauna; Steam Room; Strength Machines; TRX Suspension Training; Towel Service; Training Club 24 - IGNITE*; Training Club 24 - TORCH*; Whirlpool; Club Number: 00883; Open Date: 7/23/2011 12:00:00 AM,(818) 531-0257,1903 W. Empire Avenue,Burbank,CA,91504,USA
-119.050799,34.220431,24 Hour Fitness - Camarillo Cardio Equipment; Free Weights; Full Sized Basketball Court; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Pro Shop*; Sauna; Steam Room; Training Club 24 - IGNITE*; Whirlpool; Club Number: 00098; Open Date: 10/10/2001 12:00:00 AM,(805) 482-2444,453 Carmen Drive,Camarillo,CA,93011,USA
-117.300314,33.122148,24 Hour Fitness - Carlsbad Palomar Airport Cardio Equipment; Free Weights; Free WiFi; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop*; Sauna; Steam Room; Strength Machines; TRX Suspension Training; Training Club 24 - IGNITE*; Training Club 24 - TORCH*; Whirlpool; Club Number: 00024; Open Date: 8/31/2007 12:00:00 AM,(760) 602-5001,1265 Laurel Tree Lane Suite 100,Carlsbad,CA,92011,USA
-117.236407,33.081552,24 Hour Fitness - La Costa Cardio Equipment; Free Weights; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop; Sauna; Steam Room; Strength Machines; TRX Suspension Training; Towel Service; Training Club 24 - IGNITE*; Training Club 24 - TORCH*; Whirlpool; Club Number: 00927; Open Date: 11/8/2014 12:00:00 AM,(760) 704-0369,3409 Via Montebello,Carlsbad,CA,92009,USA
-117.326794,33.178745,24 Hour Fitness - Carlsbad Cardio Equipment; Free Weights; Full Sized Basketball Court; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop*; Sauna; Steam Room; Strength Machines; TRX Suspension Training; Towel Service; Training Club 24 - IGNITE*; Training Club 24 - TORCH*; Whirlpool; Club Number: 00894; Open Date: 10/25/2014 12:00:00 AM,(760) 439-4404,2501 El Camino Real,Carlsbad,CA,92008,USA
-121.344679,38.595363,24 Hour Fitness - Carmichael Cardio Equipment; Circuit Training; Coin Collect Lockers; Free Weights; Group Exercise; Kids' Club*; Personal Training*; Pro Shop*; Club Number: 00801; Open Date: 12/30/2005 12:00:00 AM,(916) 484-2024,5114 Arden Way,Carmichael,CA,95608,USA
-118.258809,33.8404,24 Hour Fitness - Carson Cardio Equipment; Free Weights; Full Sized Basketball Court; Group Cycling; Group Exercise; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop*; Sauna; Steam Room; TRX Suspension Training; Training Club 24 - IGNITE*; Training Club 24 - TORCH*; Club Number: 00192; Open Date: 1/17/2007 12:00:00 AM,(310) 323-1424,945 E. Dominguez St.,Carson,CA,90746,USA
-122.05206,37.69544,24 Hour Fitness - Castro Valley Cardio Equipment; Coin Collect Lockers; Free Weights; Group Exercise; Kids' Club*; Personal Training*; Club Number: 00514; Open Date: 6/1/1992 12:00:00 AM,(510) 733-6448,3839 East Castro Valley Blvd,Castro Valley,CA,94552,USA
-118.097339,33.865698,24 Hour Fitness - Cerritos Cardio Equipment; Free Weights; Full Sized Basketball Court; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop; Sauna; Steam Room; Strength Machines; Towel Service; Training Club 24 - IGNITE*; Training Club 24 - TORCH*; Whirlpool; Club Number: 00931; Open Date: 12/19/2015 12:00:00 AM,(562) 263-5154,17970 Studebaker Road,Cerritos,CA,90703,USA
-117.689385,34.032874,24 Hour Fitness - Chino Cardio Equipment; Free Weights; Free WiFi; Full Sized Basketball Court; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop; Sauna; Steam Room; Strength Machines; TRX Suspension Training; Towel Service; Training Club 24 - IGNITE*; Training Club 24 - TORCH*; Whirlpool; Club Number: 00897; Open Date: 12/14/2013 12:00:00 AM,(909) 590-4454,12155 Central Ave,Chino,CA,91710,USA
-117.711999,33.9826,24 Hour Fitness - Chino Hills Marketplace Cardio Equipment; Coin Collect Lockers; Free Weights; Full Sized Basketball Court; Group Cycling; Group Exercise; Indoor Lap Pool; Kids' Club*; Personal Training*; Pro Shop*; Sauna; Steam Room; Training Club 24 - IGNITE*; Whirlpool; Club Number: 00180; Open Date: 3/25/2005 12:00:00 AM,(909) 393-0724,4200 Chino Hills Parkway; Suite 780,Chino Hills,CA,91709,USA
-117.076014,32.596252,24 Hour Fitness - Chula Vista Cardio Equipment; Coin Collect Lockers; Free Weights; Group Cycling; Group Exercise; Kids' Club*; Personal Training*; Pro Shop*; Sauna; Training Club 24 - IGNITE*; Club Number: 00102; Open Date: 6/1/1979 12:00:00 AM,(619) 425-6600,1660 Broadway,Chula Vista,CA,91911,USA
-117.079639,32.640436,24 Hour Fitness - Downtown Chula Vista Cardio Equipment; Circuit Training; Free Weights; Group Cycling; Group Exercise; Kids' Club*; Personal Training*; Personal Training Area; Pro Shop*; Strength Machines; Training Club 24 - IGNITE*; Club Number: 00071; Open Date: 7/18/2007 12:00:00 AM,(619) 427-2424,320 Third Avenue,Chula Vista,CA,91910,USA
