GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):,Margin of Error; Aggregate travel time to work (in minutes):,Estimate; Aggregate travel time to work (in minutes): - Male,Margin of Error; Aggregate travel time to work (in minutes): - Male,Estimate; Aggregate travel time to work (in minutes): - Female,Margin of Error; Aggregate travel time to work (in minutes): - Female
320M300US0631080,0631080,"Los Angeles-Long Beach-Anaheim, CA Metro Area; California",171087545,465940,96978425,380671,74109120,273059
320M300US0819740,0819740,"Denver-Aurora-Lakewood, CO Metro Area; Colorado",36188125,209795,20286030,147820,15902095,131110
320M300US1233100,1233100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area; Florida",74035650,321588,40052400,230721,33983250,195126
320M300US1312060,1312060,"Atlanta-Sandy Springs-Roswell, GA Metro Area; Georgia",75949245,359669,41475975,276709,34473270,228359
320M300US1716980,1716980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area (part); Illinois",125086155,432909,68938765,358549,56147395,261055
320M300US2619820,2619820,"Detroit-Warren-Dearborn, MI Metro Area; Michigan",49061055,253002,27016635,158188,22044420,160276
320M300US3635620,3635620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area (part); New York",225622415,669431,119955230,452263,105667185,407642
320M300US4237980,4237980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area (part); Pennsylvania",54031170,305800,28603825,215981,25427340,195991
320M300US4819100,4819100,"Dallas-Fort Worth-Arlington, TX Metro Area; Texas",88686850,363558,50779415,278770,37907430,217682
