GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0100000US,,United States,318558162,*****
320M300US0631080,0631080,"Los Angeles-Long Beach-Anaheim, CA Metro Area; California",13189366,*****
320M300US0819740,0819740,"Denver-Aurora-Lakewood, CO Metro Area; Colorado",2752056,*****
320M300US1233100,1233100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area; Florida",5926955,*****
320M300US1312060,1312060,"Atlanta-Sandy Springs-Roswell, GA Metro Area; Georgia",5612777,*****
320M300US1716980,1716980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area (part); Illinois",8656303,*****
320M300US2619820,2619820,"Detroit-Warren-Dearborn, MI Metro Area; Michigan",4296731,*****
320M300US3635620,3635620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area (part); New York",13380318,*****
320M300US4237980,4237980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area (part); Pennsylvania",4076378,*****
320M300US4819100,4819100,"Dallas-Fort Worth-Arlington, TX Metro Area; Texas",6957123,*****
