city,state,population
Atlanta,GA,"491,626"
Chicago,IL,2687682
Dallas,TX,1359133
Denver,CO,719116
Detroit,MI,665713
Los Angeles,CA,4030668
Miami,FL,479009
Philadelphia,PA,1573688
New York,NY,8580015
Seattle,WA,746046
Columbus,OH,880182
Nashville,TN,673008
Boston,MA,687584
Washington,DC,702756
